average: 0.011080459

[    6018.207792] EV_ABS       ABS_MT_TOUCH_MAJOR   00000019            
[    6018.207795] EV_ABS       ABS_MT_TOUCH_MINOR   0000000a            
[    6018.207801] EV_SYN       SYN_REPORT           00000000            
[    6018.218898] EV_ABS       ABS_MT_POSITION_X    0000014e            
[    6018.218906] EV_ABS       ABS_MT_POSITION_Y    000001da            
[    6018.218913] EV_SYN       SYN_REPORT           00000000            
[    6018.230215] EV_ABS       ABS_MT_POSITION_X    0000014f            
[    6018.230229] EV_ABS       ABS_MT_POSITION_Y    000001dc            
[    6018.230241] EV_ABS       ABS_MT_TOUCH_MAJOR   0000001a            
[    6018.230259] EV_SYN       SYN_REPORT           00000000            
[    6018.241164] EV_ABS       ABS_MT_POSITION_X    00000150            
[    6018.241171] EV_ABS       ABS_MT_POSITION_Y    000001de            
[    6018.241176] EV_ABS       ABS_MT_TOUCH_MINOR   0000000b            
[    6018.241180] EV_SYN       SYN_REPORT           00000000            
[    6018.252236] EV_ABS       003f                 00000012            
[    6018.252259] EV_ABS       ABS_MT_POSITION_X    00000151            
[    6018.252262] EV_ABS       ABS_MT_POSITION_Y    000001e0            
[    6018.252268] EV_ABS       ABS_MT_TOUCH_MAJOR   00000019            
[    6018.252271] EV_ABS       ABS_MT_TOUCH_MINOR   0000000c            
[    6018.252277] EV_SYN       SYN_REPORT           00000000            
[    6018.263210] EV_ABS       003f                 00000014            
[    6018.263222] EV_ABS       ABS_MT_POSITION_X    00000152            
[    6018.263228] EV_ABS       ABS_MT_POSITION_Y    000001e2            
[    6018.263233] EV_ABS       ABS_MT_TOUCH_MINOR   0000000f            
[    6018.263237] EV_SYN       SYN_REPORT           00000000            
[    6018.274342] EV_ABS       003f                 00000012            
[    6018.274354] EV_ABS       ABS_MT_POSITION_X    00000153            
[    6018.274357] EV_ABS       ABS_MT_POSITION_Y    000001e4            
[    6018.274361] EV_ABS       ABS_MT_TOUCH_MAJOR   00000018            
[    6018.274364] EV_ABS       ABS_MT_TOUCH_MINOR   00000012            
[    6018.274369] EV_SYN       SYN_REPORT           00000000            
[    6018.285451] EV_ABS       003f                 00000014            
[    6018.285463] EV_ABS       ABS_MT_POSITION_X    00000155            
[    6018.285466] EV_ABS       ABS_MT_POSITION_Y    000001e7            
[    6018.285471] EV_ABS       ABS_MT_TOUCH_MINOR   00000011            
[    6018.285476] EV_SYN       SYN_REPORT           00000000            
[    6018.296538] EV_ABS       ABS_MT_POSITION_X    00000158            
[    6018.296546] EV_ABS       ABS_MT_POSITION_Y    000001ea            
[    6018.296551] EV_ABS       ABS_MT_TOUCH_MINOR   0000000d            
[    6018.296556] EV_SYN       SYN_REPORT           00000000            
[    6018.307479] EV_ABS       003f                 00000010            
[    6018.307490] EV_ABS       ABS_MT_POSITION_X    0000015b            
[    6018.307493] EV_ABS       ABS_MT_POSITION_Y    000001ed            
[    6018.307496] EV_ABS       ABS_MT_TOUCH_MAJOR   00000017            
[    6018.307499] EV_ABS       ABS_MT_TOUCH_MINOR   0000000a            
[    6018.307504] EV_SYN       SYN_REPORT           00000000            
[    6018.318537] EV_ABS       003f                 00000012            
[    6018.318549] EV_ABS       ABS_MT_POSITION_X    0000015e            
[    6018.318552] EV_ABS       ABS_MT_POSITION_Y    000001f0            
[    6018.318557] EV_ABS       ABS_MT_TOUCH_MINOR   00000009            
[    6018.318562] EV_SYN       SYN_REPORT           00000000            
[    6018.329699] EV_ABS       003f                 00000010            
[    6018.329709] EV_ABS       ABS_MT_POSITION_X    00000161            
[    6018.329712] EV_ABS       ABS_MT_POSITION_Y    000001f4            
[    6018.329715] EV_ABS       ABS_MT_TOUCH_MAJOR   00000018            
[    6018.329721] EV_SYN       SYN_REPORT           00000000            
[    6018.340989] EV_ABS       003f                 0000000e            
[    6018.341000] EV_ABS       ABS_MT_POSITION_X    00000164            
[    6018.341003] EV_ABS       ABS_MT_POSITION_Y    000001f8            
[    6018.341007] EV_ABS       ABS_MT_TOUCH_MAJOR   0000001a            
[    6018.341012] EV_SYN       SYN_REPORT           00000000            
[    6018.351776] EV_ABS       003f                 0000000c            
[    6018.351786] EV_ABS       ABS_MT_POSITION_X    00000167            
[    6018.351789] EV_ABS       ABS_MT_POSITION_Y    000001fc            
[    6018.351796] EV_SYN       SYN_REPORT           00000000            
[    6018.362928] EV_ABS       003f                 00000010            
[    6018.362941] EV_ABS       ABS_MT_POSITION_X    0000016a            
[    6018.362944] EV_ABS       ABS_MT_POSITION_Y    00000201            
[    6018.362948] EV_ABS       ABS_MT_TOUCH_MAJOR   00000018            
[    6018.362951] EV_ABS       ABS_MT_TOUCH_MINOR   0000000a            
[    6018.362955] EV_SYN       SYN_REPORT           00000000            
[    6018.373958] EV_ABS       ABS_MT_POSITION_X    0000016d            
[    6018.373966] EV_ABS       ABS_MT_POSITION_Y    00000206            
[    6018.373969] EV_ABS       ABS_MT_TOUCH_MAJOR   00000017            
[    6018.373972] EV_ABS       ABS_MT_TOUCH_MINOR   0000000c            
[    6018.373976] EV_SYN       SYN_REPORT           00000000            
[    6018.385069] EV_ABS       ABS_MT_POSITION_X    00000171            
[    6018.385075] EV_ABS       ABS_MT_POSITION_Y    0000020b            
[    6018.385080] EV_ABS       ABS_MT_TOUCH_MINOR   00000012            
[    6018.385084] EV_SYN       SYN_REPORT           00000000            
[    6018.396148] EV_ABS       003f                 00000014            
[    6018.396160] EV_ABS       ABS_MT_POSITION_X    00000175            
[    6018.396163] EV_ABS       ABS_MT_POSITION_Y    00000210            
[    6018.396168] EV_ABS       ABS_MT_TOUCH_MINOR   0000000f            
[    6018.396173] EV_SYN       SYN_REPORT           00000000            
[    6018.407244] EV_ABS       003f                 00000012            
[    6018.407256] EV_ABS       ABS_MT_POSITION_X    00000179            
[    6018.407259] EV_ABS       ABS_MT_POSITION_Y    00000215            
[    6018.407263] EV_ABS       ABS_MT_TOUCH_MAJOR   00000018            
[    6018.407266] EV_ABS       ABS_MT_TOUCH_MINOR   0000000b            
[    6018.407270] EV_SYN       SYN_REPORT           00000000            
[    6018.418315] EV_ABS       ABS_MT_POSITION_X    0000017d            
[    6018.418321] EV_ABS       ABS_MT_POSITION_Y    0000021a            
